timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702771238539,2,Delete Character,200,OK,HW Group 1-60,text,true,,249,182,1,1,http://localhost:3001/character/4,2,0,0
1702771238546,2,Get Characters,200,OK,HW Group 1-61,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,0
1702771238548,1,Get Character,200,OK,HW Group 1-61,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238549,2,Create Character,200,OK,HW Group 1-61,text,true,,262,206,1,1,http://localhost:3001/character,2,0,0
1702771238551,1,Modify Character,200,OK,HW Group 1-61,text,true,,263,208,1,1,http://localhost:3001/character/4,1,0,0
1702771238552,1,Delete Character,200,OK,HW Group 1-61,text,true,,249,182,1,1,http://localhost:3001/character/4,1,0,0
1702771238555,1,Get Characters,200,OK,HW Group 1-62,text,true,,318,159,1,1,http://localhost:3001/characters,1,0,0
1702771238557,1,Get Character,200,OK,HW Group 1-62,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238558,2,Create Character,200,OK,HW Group 1-62,text,true,,262,206,1,1,http://localhost:3001/character,2,0,0
1702771238560,1,Modify Character,200,OK,HW Group 1-62,text,true,,263,208,1,1,http://localhost:3001/character/4,1,0,0
1702771238561,2,Delete Character,200,OK,HW Group 1-62,text,true,,249,182,1,1,http://localhost:3001/character/4,2,0,0
1702771238565,1,Get Characters,200,OK,HW Group 1-63,text,true,,318,159,1,1,http://localhost:3001/characters,1,0,0
1702771238567,1,Get Character,200,OK,HW Group 1-63,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238568,1,Create Character,200,OK,HW Group 1-63,text,true,,262,206,1,1,http://localhost:3001/character,1,0,0
1702771238569,2,Modify Character,200,OK,HW Group 1-63,text,true,,263,208,1,1,http://localhost:3001/character/4,2,0,0
1702771238571,1,Delete Character,200,OK,HW Group 1-63,text,true,,249,182,1,1,http://localhost:3001/character/4,1,0,0
1702771238574,2,Get Characters,200,OK,HW Group 1-64,text,true,,318,159,1,1,http://localhost:3001/characters,1,0,0
1702771238576,1,Get Character,200,OK,HW Group 1-64,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238577,1,Create Character,200,OK,HW Group 1-64,text,true,,262,206,1,1,http://localhost:3001/character,1,0,0
1702771238578,2,Modify Character,200,OK,HW Group 1-64,text,true,,263,208,1,1,http://localhost:3001/character/4,2,0,0
1702771238580,1,Delete Character,200,OK,HW Group 1-64,text,true,,249,182,1,1,http://localhost:3001/character/4,1,0,0
1702771238584,2,Get Characters,200,OK,HW Group 1-65,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,0
1702771238586,1,Get Character,200,OK,HW Group 1-65,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238587,2,Create Character,200,OK,HW Group 1-65,text,true,,262,206,1,1,http://localhost:3001/character,1,0,0
1702771238589,1,Modify Character,200,OK,HW Group 1-65,text,true,,263,208,1,1,http://localhost:3001/character/4,1,0,0
1702771238590,2,Delete Character,200,OK,HW Group 1-65,text,true,,249,182,1,1,http://localhost:3001/character/4,2,0,0
1702771238594,2,Get Characters,200,OK,HW Group 1-66,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,0
1702771238596,1,Get Character,200,OK,HW Group 1-66,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238597,1,Create Character,200,OK,HW Group 1-66,text,true,,262,206,1,1,http://localhost:3001/character,1,0,0
1702771238598,1,Modify Character,200,OK,HW Group 1-66,text,true,,263,208,1,1,http://localhost:3001/character/4,1,0,0
1702771238599,1,Delete Character,200,OK,HW Group 1-66,text,true,,249,182,1,1,http://localhost:3001/character/4,1,0,0
1702771238604,2,Get Characters,200,OK,HW Group 1-67,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,0
